fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
H1C,4930,4855,1955,1420,455,195,800,25,5,0,107000
H1E,17190,16675,4145,2935,1470,290,6940,880,10,5,76000
H1G,21276,20285,1380,1035,285,2415,13475,1605,85,0,57200
H1H,17094,16135,1255,245,140,2925,9695,1800,80,5,55200
H1J,4928,4795,175,370,320,130,3200,600,0,0,68000
H1K,15402,14840,1775,1115,860,1665,8750,645,35,0,76000
H1L,17646,16735,1400,470,610,3775,9720,545,215,5,61200
H1M,14536,13805,320,465,145,1775,7905,3150,35,10,65000
H1N,12731,12045,640,120,420,2150,7920,760,30,0,58800
H1P,7662,7370,840,385,0,480,5145,520,5,0,67500
H1R,12416,11845,1020,300,125,625,9455,305,15,0,70000
H1S,11089,10620,45,25,5,2320,6470,1730,15,5,62400
H1T,16461,15570,820,360,305,1805,10540,1585,145,5,58000
H1V,12588,11830,155,5,85,525,10570,470,25,0,59200
H1W,17687,16605,40,5,175,1035,14365,940,35,0,56800
H1X,16827,15800,45,160,485,2225,12300,525,45,15,56800
H1Y,16145,15215,40,120,510,2160,10610,1595,180,5,62400
H1Z,14837,14070,460,90,80,3870,9430,5,135,5,56000
H2A,9248,8755,540,340,85,1425,6045,140,175,5,55200
H2B,9341,8730,380,140,5,2000,5995,170,35,0,58400
H2C,9001,8500,750,220,110,1595,5430,275,120,0,65500
H2E,12660,11755,370,200,85,1990,8700,240,165,5,55600
H2G,12862,12000,15,15,170,1990,9435,280,85,0,60800
H2H,8542,7955,5,5,25,430,7185,265,35,0,66000
H2J,16179,14975,15,20,350,1265,12430,760,125,5,70000
H2K,18011,16590,25,20,250,825,12650,2785,30,5,54800
H2L,17542,15490,30,10,120,280,10810,4170,70,0,57200
H2M,9440,8940,260,235,270,885,5900,1330,60,0,70500
H2N,2936,2745,30,45,5,455,2005,190,10,0,63600
H2P,8017,7470,20,25,170,1960,4610,620,55,10,68500
H2R,13379,12460,20,45,95,1885,9820,425,165,5,66000
H2S,16198,15060,15,10,65,1440,12300,990,235,0,65500
H2T,9219,8455,15,20,165,580,6690,915,65,0,67500
H2V,13860,12680,615,760,550,840,7840,2025,55,0,90000
H2W,6881,6105,5,0,145,580,4855,500,20,0,56800
H2X,15925,12845,10,5,205,300,5025,7265,30,0,40800
H2Y,2988,2260,0,0,15,0,980,1260,0,0,89000
H2Z,3036,2350,0,0,5,0,185,2160,0,0,60400
H3A,3722,2680,0,0,10,0,240,2430,0,0,36400
H3B,1566,1135,0,0,5,0,15,1120,0,0,49200
H3C,13197,11180,0,0,190,5,760,10210,5,0,84000
H3E,10843,10290,245,180,1430,140,2020,6275,0,0,93000
H3G,9041,6880,45,10,175,10,655,5985,5,0,49200
H3H,15061,12345,45,30,150,45,2125,9930,10,5,40800
H3J,6169,5625,5,5,855,95,2715,1905,40,0,69000
H3K,8472,7835,40,35,1090,805,4850,1000,10,0,64500
H3L,10593,9855,525,720,25,1670,6090,765,55,0,63600
H3M,6801,6450,1065,335,50,845,3670,465,15,0,65000
H3N,13287,12305,185,35,115,1315,9660,950,35,10,48000
H3P,3862,3700,1260,715,200,335,860,320,5,10,136000
H3R,3847,3590,1260,750,35,185,815,550,0,0,123000
H3S,16188,14790,55,75,0,420,11375,2810,55,0,54800
H3T,7418,6510,85,120,35,415,4630,1220,5,0,47600
H3V,4518,4010,0,5,0,15,710,3270,0,0,50000
H3W,13718,12705,275,275,65,1780,8205,2095,5,0,61600
H3X,11454,10525,1545,480,35,2175,3190,3080,25,0,75500
H3Y,3665,3430,1070,1190,625,130,200,215,0,0,240000
H3Z,6609,5885,110,230,620,130,1650,3125,20,0,79500
H4A,13091,12120,250,1340,485,3965,4895,1155,25,10,78000
H4B,11150,10525,495,1015,70,820,4730,3390,5,0,51200
H4C,10371,9490,35,30,345,215,7290,1535,50,0,64500
H4E,15696,14735,415,130,565,5740,7140,645,75,30,59200
H4G,16856,15815,170,115,350,1505,12220,1420,30,0,61200
H4H,9482,8970,725,170,85,5525,2165,280,5,5,71000
H4J,7771,7340,1165,375,5,495,4640,655,5,5,58000
H4K,4158,4000,1525,180,535,75,1660,15,5,0,90000
H4L,15190,14175,1485,905,175,1985,5410,4180,30,0,67500
H4M,4896,4585,965,760,90,180,2065,515,0,5,85000
H4N,12999,12070,215,265,235,610,3125,7615,5,0,61600
H4P,4787,4425,180,170,50,10,1200,2815,0,0,65500
H4R,12654,12130,1010,280,2435,175,5010,3220,0,0,89000
H4S,226,215,15,0,155,0,10,0,0,35,106000
H4T,2,0,0,0,0,0,0,0,0,0,
H4V,9834,9175,845,670,5,2095,3510,2035,10,5,59600
H4W,11415,10710,1400,1100,655,655,985,5910,0,5,75500
H4X,2654,2535,850,530,60,220,660,215,0,0,105000
H7A,7584,7460,4685,890,435,255,1175,5,15,5,101000
H7B,1077,1060,830,100,5,40,85,0,0,0,98000
H7C,3760,3510,1165,250,145,170,1540,210,30,0,72000
H7E,10345,10145,5800,950,400,120,2615,255,0,0,100000
H7G,9435,9075,3140,365,20,615,3845,1065,30,0,72000
H7H,5078,5015,2980,585,365,95,985,0,5,5,103000
H7J,905,875,780,15,0,45,30,0,5,0,95000
H7K,8406,8210,5270,775,150,65,1830,120,5,5,104000
H7L,13780,13555,7480,2480,720,500,1925,375,75,5,107000
H7M,10868,10625,5435,980,215,160,3805,5,15,5,86000
H7N,21408,20350,3650,745,340,815,11555,3210,35,10,65000
H7P,14684,14335,8100,1540,570,90,2160,1855,20,0,92000
H7R,11519,11260,7730,1160,380,545,1090,315,25,5,94000
H7S,3332,3245,1105,100,50,5,1860,125,0,0,69000
H7T,12129,11490,2925,1175,275,90,3765,3245,15,0,81000
H7V,10593,9735,1725,190,185,690,4375,2545,20,5,56000
H7W,17932,16910,4715,1665,325,395,6955,2840,10,5,71000
H7X,9843,9545,6090,840,205,160,1865,380,5,0,107000
H7Y,3442,3390,2395,460,165,25,300,40,0,0,129000
H8N,14934,14145,50,665,790,5315,5215,2105,5,5,65000
H8P,11083,10475,880,575,20,6645,2085,260,10,0,65000
H8R,14411,13600,490,390,540,6905,5150,120,5,0,62000
H8S,12363,11635,530,315,740,2335,6490,1080,105,45,60400
H8T,7055,6830,2195,280,305,800,3155,95,10,0,79000
H8Y,7852,7625,2815,305,640,145,3290,425,5,0,75500
H8Z,5822,5635,3065,410,340,55,1010,755,5,0,85000
H9A,5392,5265,3915,75,140,10,910,215,0,0,108000
H9B,7757,7580,3180,130,1830,35,2105,305,0,0,87000
H9C,4211,4140,3230,200,180,80,440,0,5,0,116000
H9E,1256,1205,830,110,0,40,145,0,0,75,103000
H9G,5852,5735,3390,215,990,5,330,810,0,0,94000
H9H,9638,9375,5155,285,445,125,2875,415,15,50,87000
H9J,7684,7530,5630,145,660,40,935,110,0,0,109000
H9K,3087,3025,1800,180,320,25,695,5,5,0,113000
H9P,1547,1510,985,100,135,25,265,0,0,0,89000
H9R,10270,9920,4945,840,1105,30,1080,1920,0,5,93000
H9S,11143,10620,4705,270,355,270,3275,1725,20,5,79500
H9W,6915,6755,5795,90,520,5,345,0,0,0,138000
H9X,4057,3790,2450,250,185,105,680,75,45,0,104000
J0A,9020,8240,6600,185,100,370,870,0,30,90,69000
J0B,32981,28140,23050,610,160,1495,2550,5,85,185,71000
J0C,10332,9785,7870,295,30,335,960,5,35,260,71500
J0E,28558,23190,17850,805,150,850,2700,5,315,515,74000
J0G,9267,8500,7270,210,35,345,480,0,30,135,66000
J0H,22956,22055,17300,625,150,865,2645,15,170,285,75000
J0J,19527,17745,14750,480,90,485,1425,85,145,285,77000
J0K,78999,67140,54905,1630,390,2725,6435,30,380,645,65000
J0L,34423,33385,21375,2860,745,1635,5335,25,205,1215,86000
J0M,7885,6645,3095,2305,225,240,730,0,0,50,102000
J0N,20731,20250,14895,740,205,715,3415,0,100,190,88000
J0P,18635,17820,13445,855,300,505,2555,40,60,60,86000
J0R,21353,18065,12955,810,360,1520,2125,5,110,180,84000
J0S,16563,14780,11735,475,120,620,1480,40,95,215,70000
J0T,42290,26030,22235,435,150,1555,1380,15,55,210,62400
J0V,17146,12905,10705,455,120,525,925,5,85,85,63600
J0W,11615,8135,7045,125,30,295,510,5,40,95,57200
J0X,32403,21785,18950,665,235,580,1110,0,85,160,69000
J0Y,14125,12280,9175,520,200,660,1155,0,65,505,79500
J0Z,17493,15060,12430,555,240,560,1105,5,50,120,73500
J1A,4382,4115,2425,160,40,330,1125,0,15,15,62400
J1C,2822,2755,1870,105,10,195,525,0,20,35,81000
J1E,13498,12660,3330,1045,300,710,7040,195,40,0,54000
J1G,9625,9140,4020,200,195,795,3755,130,45,0,60000
J1H,17353,15600,2480,450,220,1310,10515,585,15,20,45600
J1J,7824,7300,2520,255,180,380,3170,755,5,30,65500
